in,index,value
0,0,4.762504075941942
1,1,4.781965564995056
2,2,6.12806861960558
3,3,5.281272868326461
4,4,6.478972561568098
5,5,4.362546092784271
6,6,5.082880921959079
7,7,6.76394254275185
8,8,4.7458781685561275
9,9,7.016827630591098
10,10,4.715573683895856
11,11,4.41115971870933
12,12,5.988970454747328
13,13,5.351063454772778
14,14,6.444908382816516
15,15,4.355841697504195
16,16,4.633096711853842
17,17,6.177193620669762
18,18,5.680667924366185
19,19,5.976561978150114
20,20,4.216674426600437
21,21,4.819598814876377
22,22,6.682939872358404
23,23,5.056202971794104
24,24,6.704995469600532
25,25,4.716343394924852
26,26,4.896617884322417
27,27,6.15849438326812
28,28,5.016856841312906
29,29,6.400737230966662
30,30,4.659723237414562
31,31,4.8037701780384525
32,32,6.622646196991094
33,33,4.4781283391739946
34,34,6.754264082861997
35,35,4.5778544212432335
36,36,4.258565094679406
37,37,5.968309639769286
38,38,4.971081402747224
39,39,6.354966379361938
40,40,4.807695231061729
41,41,4.687656746450927
42,42,5.879856323209365
43,43,5.7978457612722405
44,44,6.148558191910988
45,45,4.480880313574345
46,46,4.8294547221607615
47,47,6.250123191460585
48,48,4.4559485843296125
49,49,6.905834729814316
50,50,5.065792763997676
51,51,4.779782012137071
52,52,5.8544580989738675
53,53,5.182647613122942
54,54,6.672709520490665
55,55,4.615995493343282
56,56,4.605849687299017
57,57,6.802378814884921
58,58,4.2440298338206075
59,59,7.167542297276661
60,60,4.593293449881507
61,61,5.086970085056914
62,62,6.613774289735235
63,63,5.120831889619181
64,64,6.329169148277531
65,65,4.626288099998163
66,66,4.968906715617418
67,67,6.146830373810232
68,68,5.7714283769665204
69,69,6.2645277586454675
70,70,4.380469788119034
71,71,4.643970571127393
72,72,6.845069237180789
73,73,5.016231338353599
74,74,7.009662802185996
75,75,4.829391238023815
76,76,4.606093279036123
77,77,6.42930376520285
78,78,4.923715125856825
79,79,6.936736888738837
80,80,4.6593860517344
81,81,4.814547207600948
82,82,6.685360534219632
83,83,4.352106657250328
84,84,7.244366433336971
85,85,4.439964539424623
86,86,4.834205831322185
87,87,6.4389561345775554
88,88,4.924819367411773
89,89,6.695023417863282
90,90,4.708256674714129
91,91,5.0439853058074435
92,92,6.250059836103043
93,93,5.635811749235895
94,94,6.167405848994028
95,95,4.3024687192163285
96,96,4.490493301812662
97,97,6.5251379903492275
98,98,4.559029276977908
99,99,6.67159032031651
100,100,4.861813088889328
101,101,4.562870387496056
102,102,5.75715407803856
103,103,5.2916456175274265
104,104,6.433130513026997
105,105,4.695460193823004
106,106,4.961438511854564
107,107,6.255765417324701
108,108,4.270902814159156
109,109,7.216925531251702
110,110,4.698341012149708
111,111,4.201062134032197
112,112,5.888844433388756
113,113,5.306920499763477
114,114,6.099122622681633
115,115,4.674718659230092
116,116,4.549873519862928
117,117,6.400202426251415
118,118,5.544600364333151
119,119,6.027057964238438
120,120,4.7437611993540445
121,121,4.515124980857741
122,122,6.889336006658418
123,123,4.89311701979473
124,124,6.831443265178621
125,125,4.706862700032995
126,126,4.408183629025537
127,127,6.102740619024365
128,128,5.281349438547249
129,129,6.531924825577882
130,130,4.759055182382941
131,131,4.59209815928378
132,132,6.0958638960105205
133,133,4.131406528265748
134,134,7.073382113158592
135,135,4.541210595150972
136,136,4.886762698533678
137,137,6.296701790726593
138,138,5.1779484986737145
139,139,6.165993360129367
140,140,4.826673799195936
141,141,4.288597202003714
142,142,6.051424802415582
143,143,5.889333729718267
144,144,5.863187624076203
145,145,4.256534164487638
146,146,4.1935741797355375
147,147,6.602681603824889
148,148,4.810949694045185
149,149,6.396463700629553
150,150,4.902967714984229
151,151,4.528780936489044
152,152,5.978022482714181
153,153,5.336835342686322
154,154,6.7140067453249
155,155,4.9900386647456525
156,156,4.790460699023305
